	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	4038.16606542007	-0.22382631752578	0.166585322754571	-1.34361367391017	0.179073345448846	1
TNMD	12.1201748128301	-0.93535731715666	0.761749655630274	-1.22790645226186	0.219482087106652	1
DPM1	955.470366148985	-0.0244496576395449	0.126812808566752	-0.192801168240627	0.847114688531579	1
SCYL3	330.049505958835	-0.0825652900764277	0.220343300869477	-0.374712050471351	0.707874629212147	1
C1orf112	571.246662724163	0.108938954393012	0.28721150562102	0.379298712833456	0.704466055383216	1
FGR	2.42554591457467	0.478758399661777	1.12299417187583	0.426323138313414	0.669872399853934	1
CFH	3.07993820717013	-1.36941193771272	1.4247986940039	-0.9611266093068	0.336488511852884	1
FUCA2	837.843738905896	0.170007569696137	0.237044784495906	0.717195993397076	0.473253171135855	1
GCLC	2345.56181209706	0.0929702160209462	0.180120019882854	0.516157038409234	0.605744733220817	1
NFYA	1969.66027367568	0.0199655947790612	0.164853555758661	0.121111095767264	0.903603040720593	1
STPG1	359.555900308022	0.0217567141427526	0.251449985628448	0.086525016449598	0.931049070389867	1
NIPAL3	536.242871020195	-0.0376833465061857	0.249603691727809	-0.150972712964835	0.879997241045438	1
LAS1L	1177.33984479677	-0.10198858037692	0.105853364608817	-0.963489264170496	0.335302049251117	1
ENPP4	706.938329115585	0.166928489244695	0.188562829431632	0.885267206415242	0.376012532536248	1
SEMA3F	439.953733349676	0.0896951419582667	0.378904907245308	0.236722038282277	0.812872436752923	1
CFTR	745.387549153311	0.348158411156607	0.749815365610414	0.464325522154612	0.642414541159106	1
ANKIB1	2673.32225484434	0.202721461036687	0.114316703710087	1.77333193188285	0.0761737208131269	1
CYP51A1	2332.48858701483	-0.136432015317472	0.253205605736201	-0.538819094943784	0.590011686605117	1
KRIT1	1219.95452161549	0.207236357628729	0.15169257359459	1.36616020625099	0.171888684602044	1
RAD52	576.501059346649	0.243813360015511	0.278860182731759	0.87432116563604	0.381943375958343	1
MYH16	2.87817359493511	-0.00531749771983849	1.29194362690431	-0.00411588989573794	0.996716004270344	1
BAD	112.194400102266	-0.235970802202378	0.40503963669559	-0.582586939212872	0.560171399816	1
LAP3	1178.33490753291	-0.0267576604487299	0.174767554546078	-0.153104279099329	0.878316041431981	1
CD99	5471.77037415227	-0.0468811933640305	0.238228522077483	-0.196790850042643	0.843991211715348	1
HS3ST1	104.230977957525	0.122361555790092	0.589334850617843	0.207626539753778	0.835520580192107	1
AOC1	1.58597032962961	-1.34909211745295	1.8395353750696	-0.7333874280085	0.463322164838058	1
WNT16	3.02525384672532	0.397431752779666	0.841456182475397	0.472314258373502	0.636702494529109	1
HECW1	132.291763693554	0.695676984146014	0.345033924228028	2.01625676577312	0.0437731332994237	0.932655810708511
MAD1L1	235.927034314755	-0.262355906217418	0.289883761199599	-0.905038299253934	0.365445097575759	1
LASP1	8357.2044611063	0.218588884980991	0.15213971667982	1.43676411229958	0.150785030866385	1
SNX11	532.083196310643	0.0421041436890128	0.10697192860098	0.393599930745074	0.69387643236246	1
TMEM176A	12.5554331366217	1.30318757383195	0.964429673469626	1.35125205049282	0.176614706159779	1
M6PR	2370.32786621511	0.137237808831673	0.0864745015670736	1.58703208858886	0.112505377220875	1
KLHL13	507.753620995711	-0.312905493644138	0.282143793489925	-1.10902844884061	0.267417909499036	1
CYP26B1	429.401195828574	0.39157015243804	1.09633339978903	0.357163388904681	0.720969492132872	1
