	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	4038.16606542007	-0.0255755888969076	0.11708309280002	-0.218439642182934	0.827086581211685	0.934937694046792
TNMD	12.1201748128301	-1.26771153300656	0.925039915631158	-1.37043981733653	0.170549649891042	0.434076879302305
DPM1	955.470366148985	-0.0182857796788245	0.0907509738816717	-0.201494032479111	0.840312295139831	0.94010530380794
SCYL3	330.049505958835	-0.288531967642317	0.149725570936625	-1.92707208152471	0.0539706474872983	0.225654752628072
C1orf112	571.246662724163	-0.496062065185735	0.203549974910061	-2.43705294193685	0.0148075112539627	0.0987206555715933
FGR	2.42554591457467	-0.0192578532074165	1.02707074189458	-0.0187502695012931	0.985040326027756	0.995551585713842
CFH	3.07993820717013	-0.696330171859787	0.873034412807372	-0.797597622321248	0.425104031268388	0.705140482592926
FUCA2	837.843738905896	-0.115813972591132	0.167634751897921	-0.690870904033402	0.489646672345042	0.753472221933994
GCLC	2345.56181209706	0.327926439058513	0.127828581720316	2.56536085001711	0.0103068553052054	0.0784678021868272
NFYA	1969.66027367568	0.122284782124889	0.116212303870199	1.05225331615034	0.292683343952276	0.583467131522895
STPG1	359.555900308022	-0.292371394135188	0.175749717369504	-1.66356679550439	0.0961990320887244	0.312565296441317
NIPAL3	536.242871020195	0.499674083416278	0.174961699026677	2.85590552787265	0.00429142804399201	0.0431669828273686
LAS1L	1177.33984479677	-0.0865802366660004	0.0773466329401836	-1.11937951756682	0.262978265290074	0.551677650387028
ENPP4	706.938329115585	0.235465184284377	0.128468982997317	1.83285629566551	0.0668239446270934	0.254253053894474
SEMA3F	439.953733349676	0.0809777512280849	0.268014679900786	0.302139238261357	0.762545921547718	0.906657670191469
CFTR	745.387549153311	0.859841157589657	0.489538818841712	1.75643100096558	0.0790148433275703	0.27878234208938
ANKIB1	2673.32225484434	0.0392084692001373	0.0805001852506039	0.487060608346155	0.62621538071759	0.842027522524064
CYP51A1	2332.48858701483	0.265407299827175	0.178926992864771	1.48332733690866	0.137987462672967	0.388194505088572
KRIT1	1219.95452161549	0.0848771324667803	0.107033754377089	0.792994069588091	0.427781277980558	0.707542505059956
RAD52	576.501059346649	0.287676952589966	0.196022127655058	1.4675738705183	0.142220009948993	0.393485644301394
MYH16	2.87817359493511	0.187550964107291	0.711074314665084	0.263757191392333	0.791967023048049	0.920687450671646
BAD	112.194400102266	-0.0988773564269872	0.273030840330372	-0.362147207646374	0.717242027824892	0.883922002104272
LAP3	1178.33490753291	-0.782572923868197	0.12375711856023	-6.32345785820261	2.5577398201802e-10	1.52920869499024e-07
CD99	5471.77037415227	0.0652075577776561	0.165414679762439	0.394206595637728	0.693428516543243	0.873669698946679
HS3ST1	104.230977957525	-0.495954363814564	0.389405082942875	-1.27362067301859	0.202797882099882	0.478935032893008
WNT16	3.02525384672532	0.322860928604275	0.719353037925803	0.448821248514107	0.653560609225416	0.856182163063842
HECW1	132.291763693554	-1.01806004402991	0.48652018024437	-2.09253405176032	0.0363907689580151	0.17625617497351
MAD1L1	235.927034314755	-0.287991745878125	0.20329930054303	-1.41658994944338	0.156602848703634	0.414230015401344
LASP1	8357.2044611063	0.316974169708975	0.10746878169316	2.94945345722802	0.00318336517498846	0.0359528586351117
SNX11	532.083196310643	-0.0941736468896306	0.0751917220907167	-1.25244700175922	0.21040702865117	0.489482888151044
TMEM176A	12.5554331366217	0.164691234384204	0.504471978938865	0.326462601016265	0.74407438067757	0.897095216067444
M6PR	2370.32786621511	0.0474036061698879	0.0611258966751724	0.77550774300775	0.438039691890488	0.714883168578762
KLHL13	507.753620995711	0.352059269947659	0.194494488097715	1.81012466415389	0.0702764569576653	0.261887256430474
CYP26B1	429.401195828574	1.06611734229077	0.721512663203642	1.47761418012683	0.139511076692472	0.390109020648989
ICA1	1052.46016535158	-0.0707386105796317	0.0947869161770142	-0.746290874655397	0.455491722666408	0.728756283496715
DBNDD1	1011.70704905702	-0.152154277882138	0.16737665376147	-0.909053171172696	0.363322059767131	0.65358045724039
ALS2	3149.35995431678	0.225094563201713	0.0977612584474833	2.30249248809161	0.0213074145658623	0.125364814629994
CASP10	293.467685411192	0.615704950088332	0.265412642753725	2.31980264278383	0.0203515560571679	0.121829152217064
CFLAR	1326.1347348338	-0.0129042837055527	0.204252421031131	-0.0631781187239192	0.949624668693268	0.983822170872435
TFPI	340.561532981437	0.24489631657693	0.269570652068123	0.908468020157635	0.36363100242736	0.653909638657104
NDUFAF7	1146.04693178915	0.0912017084378034	0.106994648482461	0.852395047148119	0.393994868182063	0.680145747352506
RBM5	8182.57469001707	0.300216790395354	0.112916490728247	2.65875062587517	0.00784309917765049	0.0651559589521534
MTMR7	437.781234031891	0.215912473648284	0.169687566473941	1.27241186926587	0.203226819070842	0.479424846173039
SLC7A2	3438.81545696021	0.976020139150168	0.283363717931442	3.44440758427058	0.000572312247159591	0.0109058544946786
ARF5	2178.80428945538	-0.270896911826192	0.124870260862396	-2.16942697128434	0.0300502831477431	0.156614012806189
