sample	clone	genotype	passage	day	Differentiation
X598_1_HUES8_Control_day0	WT_clone1	WT	56	0	0
X598_2_HUES8_Control_day0	WT_clone2	WT	42	0	0
X598_3_HUES8_EXDPF_KO_day0	KO_clone1	KO	86	0	0
X598_4_HUES8_EXDPF_KO_day0	KO_clone2	KO	62	0	0
X598_5_HUES8_Control_day4	WT_clone1	WT	47	4	1
X598_6_HUES8_Control_day4	WT_clone2	WT	33	4	1
X598_7_HUES8_EXDPF_KO_day4	KO_clone1	KO	77	4	1
X598_8_HUES8_EXDPF_KO_day4	KO_clone2	KO	53	4	1
X598_9_HUES8_Control_day10	WT_clone1	WT	47	10	1
X598_10_HUES8_Control_day10	WT_clone2	WT	33	10	1
X598_11_HUES8_EXDPF_KO_day10	KO_clone1	KO	77	10	1
X598_12_HUES8_EXDPF_KO_day10	KO_clone2	KO	53	10	1
X598_13_HUES8_Control_day14	WT_clone1	WT	47	14	1
X598_14_HUES8_Control_day14	WT_clone2	WT	33	14	1
X598_15_HUES8_EXDPF_KO_day14	KO_clone1	KO	77	14	1
X598_16_HUES8_EXDPF_KO_day14	KO_clone2	KO	53	14	1
X598_25_HUES8_Control_day4	WT_clone1	WT	55	4	2
X598_26_HUES8_Control_day4	WT_clone2	WT	41	4	2
X598_27_HUES8_EXDPF_KO_day4	KO_clone1	KO	85	4	2
X598_28_HUES8_EXDPF_KO_day4	KO_clone2	KO	61	4	2
X598_29_HUES8_Control_day10	WT_clone1	WT	55	10	2
X598_30_HUES8_Control_day10	WT_clone2	WT	41	10	2
X598_31_HUES8_EXDPF_KO_day10	KO_clone1	KO	85	10	2
X598_32_HUES8_EXDPF_KO_day10	KO_clone2	KO	61	10	2
X598_33_HUES8_Control_day14	WT_clone1	WT	55	14	2
X598_34_HUES8_Control_day14	WT_clone2	WT	41	14	2
X598_35_HUES8_EXDPF_KO_day14	KO_clone1	KO	85	14	2
X598_36_HUES8_EXDPF_KO_day14	KO_clone2	KO	61	14	2
X598_45_HUES8_Control_day4	WT_clone1	WT	57	4	3
X598_47_HUES8_EXDPF_KO_day4	KO_clone1	KO	85	4	3
X598_48_HUES8_EXDPF_KO_day4	KO_clone2	KO	62	4	3
X598_49_HUES8_Control_day10	WT_clone1	WT	57	10	3
X598_50_HUES8_Control_day10	WT_clone2	WT	29	10	3
X598_51_HUES8_EXDPF_KO_day10	KO_clone1	KO	85	10	3
X598_52_HUES8_EXDPF_KO_day10	KO_clone2	KO	62	10	3
X598_53_HUES8_Control_day14	WT_clone1	WT	57	14	3
X598_54_HUES8_Control_day14	WT_clone2	WT	29	14	3
X598_55_HUES8_EXDPF_KO_day14	KO_clone1	KO	85	14	3
X598_56_HUES8_EXDPF_KO_day14	KO_clone2	KO	62	14	3
X598_65_HUES8_Control_day4	WT_clone1	WT	61	4	4
X598_66_HUES8_Control_day4	WT_clone2	WT	33	4	4
X598_67_HUES8_EXDPF_KO_day4	KO_clone1	KO	89	4	4
X598_68_HUES8_EXDPF_KO_day4	KO_clone2	KO	66	4	4
X598_69_HUES8_Control_day10	WT_clone1	WT	61	10	4
X598_70_HUES8_Control_day10	WT_clone2	WT	33	10	4
X598_71_HUES8_EXDPF_KO_day10	KO_clone1	KO	89	10	4
X598_72_HUES8_EXDPF_KO_day10	KO_clone2	KO	66	10	4
X598_73_HUES8_Control_day14	WT_clone1	WT	61	14	4
X598_74_HUES8_Control_day14	WT_clone2	WT	33	14	4
X598_75_HUES8_EXDPF_KO_day14	KO_clone1	KO	89	14	4
X598_76_HUES8_EXDPF_KO_day14	KO_clone2	KO	66	14	4
X598_85_HUES8_Control_day0	WT_clone1	WT	50	0	0
X598_86_HUES8_Control_day0	WT_clone2	WT	36	0	0
X598_87_HUES8_EXDPF_KO_day0	KO_clone1	KO	80	0	0
X598_88_HUES8_EXDPF_KO_day0	KO_clone2	KO	68	0	0
